# Time-averaged data for fix logger
# TimeStep v_P v_Fobs c_Fsum v_EE
67000 33258.2 4.291e+06 103.146 41601.1
67500 32032.5 4.13438e+06 105.321 39255.2
68000 27885 3.60364e+06 101.633 35457.4
68500 24817.3 3.21102e+06 99.0674 32412.4
69000 21603.2 2.79799e+06 95.8716 29184.8
69500 18795.1 2.43916e+06 103.741 23512
70000 24838.7 3.21415e+06 101.207 31758.1
70500 25973.5 3.35854e+06 99.3803 33794.9
71000 27465.5 3.55087e+06 96.5854 36764.1
71500 27654.7 3.57438e+06 102.036 35030.7
72000 26110 3.37722e+06 99.946 33790.4
72500 27052.2 3.49931e+06 104.512 33482.4
73000 28838.4 3.72643e+06 101.573 36687.2
73500 26672.1 3.44997e+06 106.464 32405.1
74000 26132.5 3.37846e+06 94.2758 35835.9
74500 27421.8 3.54505e+06 99.4848 35634.1
75000 26839.8 3.47166e+06 101.078 34346.4
75500 20960.9 2.7175e+06 105.53 25751.1
76000 28135.8 3.63805e+06 105.16 34595.5
76500 33897.3 4.37086e+06 98.7325 44269.7
77000 30982.8 4.00268e+06 106.001 37760.7
77500 36210.8 4.66708e+06 103.535 45077.5
78000 32350.6 4.17513e+06 97.8222 42680.8
78500 31155.3 4.02358e+06 102.415 39287.2
79000 32265.2 4.16575e+06 105.414 39518.2
79500 37344.1 4.80919e+06 100.106 48040.8
80000 35592.8 4.58909e+06 101.456 45232.4
80500 37293.3 4.8042e+06 100.869 47628
81000 43291.6 5.564e+06 103.157 53937.5
81500 49068.8 6.29144e+06 104.251 60349.1
82000 50494.2 6.47537e+06 112.642 57486.3
82500 46952 6.02303e+06 103.568 58155.3
83000 41793.9 5.37548e+06 104.067 51654.1
83500 37852.1 4.87359e+06 103.025 47305.1
84000 38156.3 4.91166e+06 99.9708 49130.9
84500 37862.8 4.87537e+06 105.871 46050.2
85000 41166.2 5.29673e+06 101.942 51958.2
85500 38264.6 4.92672e+06 98.1432 50199.3
86000 37423 4.8207e+06 103.45 46599.3
86500 38111.9 4.90709e+06 102.843 47714.5
87000 37701.2 4.85614e+06 106.012 45807.3
87500 33265.9 4.29167e+06 97.6813 43935.4
88000 33936.6 4.37611e+06 99.109 44154.5
88500 34754.8 4.47993e+06 102.557 43682.3
89000 36363.7 4.68546e+06 102.54 45694.2
89500 40154.5 5.16586e+06 96.781 53376.8
90000 37107.3 4.78033e+06 102.754 46521.9
90500 32997.9 4.25781e+06 102.685 41464.6
91000 38859.7 5.00393e+06 100.407 49836.2
91500 42036.2 5.405e+06 95.8934 56364.7
92000 42627.6 5.4817e+06 105.937 51745.1
92500 36867.5 4.74876e+06 101.035 47001.1
93000 34641.2 4.46802e+06 110.973 40262.4
93500 29750.9 3.84184e+06 102.537 37467.9
94000 33462.8 4.31706e+06 100.423 42988.9
94500 41399.1 5.32494e+06 104.288 51059.7
95000 45913.6 5.89404e+06 101.295 58187
95500 48470.9 6.21767e+06 107.444 57868.7
96000 45252.5 5.81292e+06 110.233 52733.2
96500 44031.8 5.65664e+06 100.203 56451.8
97000 41006.6 5.2733e+06 99.3617 53071.8
97500 41327.5 5.31239e+06 98.9613 53681.4
98000 38749.4 4.98837e+06 100.316 49726.6
98500 43008.4 5.52734e+06 96.352 57366.2
99000 43742.1 5.61912e+06 100.949 55662.8
99500 44488.5 5.714e+06 101.359 56374.2
100000 43692.6 5.61408e+06 102.373 54839.2
100500 38637.9 4.97197e+06 98.3005 50579.3
101000 42588.4 5.4729e+06 102.666 53307.7
101500 43462.9 5.58497e+06 101.709 54911.4
102000 44490.9 5.71739e+06 115.117 49665.7
102500 50100.1 6.42139e+06 104.978 61169.2
103000 54810.8 7.01139e+06 99.8057 70250.4
103500 51075.5 6.54125e+06 107.022 61120.7
104000 54267.7 6.94364e+06 104.416 66500.1
104500 54180.1 6.93238e+06 100.984 68648.1
105000 56846.9 7.26406e+06 100.294 72428
105500 63994.8 8.15739e+06 98.7138 82636.8
106000 61049.1 7.79353e+06 106.239 73358.7
106500 55417.7 7.0876e+06 91.3718 77568.8
107000 50055.4 6.41223e+06 102.447 62590.7
107500 48845.2 6.26322e+06 100.012 62624.5
108000 47057.9 6.03514e+06 94.3642 63955.8
108500 41894.6 5.38676e+06 106.028 50805
109000 41043.2 5.27829e+06 104.986 50276.3
109500 39696.1 5.10467e+06 97.9215 52130.2
110000 46415.6 5.95562e+06 95.7963 62169.7
110500 48446.3 6.21435e+06 105.666 58811.4
111000 50598.8 6.48245e+06 96.3601 67273.1
111500 50724.3 6.49991e+06 99.8985 65065.2
112000 52125.7 6.6746e+06 94.5644 70582.6
112500 51159.4 6.55478e+06 102.458 63975.3
113000 49182.5 6.30621e+06 103.603 60868.7
113500 53727.3 6.87748e+06 99.2379 69302.9
114000 54665.8 6.9985e+06 114.646 61044.3
114500 50055.9 6.4127e+06 102.308 62680.5
115000 52121.8 6.6759e+06 100.227 66608
115500 54174.3 6.93112e+06 101.828 68067
116000 59800.1 7.63562e+06 108.412 70431.4
116500 64336.4 8.20194e+06 109.254 75072.4
117000 67691.1 8.61438e+06 99.0534 86967
117500 70746 9.00485e+06 110.848 81236.1
118000 62687.7 7.9949e+06 99.9367 79999.7
118500 60410 7.71261e+06 103.341 74632.4
119000 58406.5 7.46302e+06 105.222 70926.2
119500 55018.6 7.03336e+06 101.924 69006
120000 52947.5 6.77576e+06 102.754 65941.9
120500 46962.4 6.02346e+06 100.056 60200.7
121000 48646.9 6.23638e+06 100.914 61798.9
121500 51414.4 6.58386e+06 108.076 60918.6
122000 55392.1 7.08236e+06 98.4127 71965.9
122500 54788.6 7.0061e+06 104.019 67354.1
123000 53689.8 6.86857e+06 103.66 66260.4
123500 62005 7.91041e+06 97.1747 81404
124000 64347.4 8.1989e+06 94.2626 86979.3
124500 67349 8.57438e+06 105.261 81457.9
125000 74320.8 9.43647e+06 93.5924 100825
125500 73139.8 9.29411e+06 115.923 80175.1
126000 64637 8.23811e+06 100.069 82323.9
126500 61420.8 7.8395e+06 111.486 70318.5
127000 57500.7 7.34754e+06 97.4025 75434.8
127500 54649.3 6.99126e+06 111.829 62517.7
128000 42531.3 5.4655e+06 96.2834 56764.7
128500 51132.1 6.5528e+06 104.222 62873.6
129000 57679.2 7.36859e+06 95.8651 76864.2
129500 63513.4 8.10021e+06 105.796 76564.1
130000 64372.7 8.2058e+06 98.3914 83399.6
130500 64703.9 8.24485e+06 102.694 80285.3
131000 76003.2 9.64735e+06 101.267 95266.4
131500 78012.1 9.89474e+06 103.76 95361.9
132000 70979.5 9.02591e+06 104.842 86090.8
132500 65488.7 8.34347e+06 101.834 81932.3
133000 65529.4 8.35005e+06 105.822 78906.8
133500 66240.2 8.43972e+06 107.41 78574.9
134000 66711.1 8.49561e+06 97.3857 87236.7
134500 60941.5 7.78151e+06 104.98 74123.5
135000 60094.5 7.67245e+06 103.929 73824.2
135500 63892.1 8.14419e+06 100.109 81353.5
136000 62908 8.0254e+06 104.338 76917.3
136500 61172.4 7.80627e+06 99.9763 78081.3
137000 65337.4 8.3265e+06 97.3383 85541.9
137500 67799.1 8.63361e+06 113.012 76395.3
138000 71975.2 9.15052e+06 104.305 87728.6
138500 72308.7 9.19176e+06 108.953 84364.5
139000 75039.9 9.52684e+06 99.3435 95898
139500 72130.3 9.1721e+06 107.836 85056.2
140000 63801.5 8.13833e+06 95.277 85417.6
140500 64595.7 8.2366e+06 109.143 75465.9
141000 64351.9 8.20293e+06 101.113 81126.1
141500 65291.3 8.32497e+06 105.354 79018.9
142000 63758.4 8.13262e+06 105.075 77398.1
142500 61738.4 7.87979e+06 103.128 76407.6
143000 73365.4 9.32822e+06 106.624 87487.3
143500 75778 9.62179e+06 99.948 96267.9
144000 75385.1 9.57261e+06 101.674 94150.1
144500 77312 9.80945e+06 99.2213 98864.4
145000 71809.8 9.13219e+06 107.516 84938.1
145500 64211.8 8.1854e+06 97.4298 84013.3
146000 62530.6 7.9783e+06 110.951 71908.3
146500 61832.2 7.88719e+06 101.101 78013.2
147000 53543.4 6.85548e+06 101.28 67688.4
147500 73301.5 9.31504e+06 103.007 90431.3
148000 76808.1 9.74954e+06 108.892 89533.8
148500 77502.5 9.83464e+06 103.854 94697.2
149000 76368.3 9.69474e+06 102.693 94405.2
149500 68689 8.74533e+06 110.349 79251.8
150000 62500.5 7.97762e+06 101.463 78625.5
150500 61688.8 7.87282e+06 100.775 78122.7
151000 63905 8.15177e+06 107.828 75599.6
151500 73712 9.3674e+06 108.034 86708
152000 80999.1 1.02667e+07 111.284 92257.1
152500 77013.8 9.77291e+06 104.597 93434.3
153000 76383.8 9.69401e+06 104.378 92873.9
153500 82673.1 1.0473e+07 107.976 96993.7
154000 78761.6 9.98409e+06 103.461 96501
154500 65652 8.3675e+06 113.953 73429.3
155000 64796.3 8.25914e+06 104.55 78996.7
155500 71656.3 9.11398e+06 114.726 79441.2
156000 75121.9 9.53983e+06 103.366 92292.1
156500 77422.5 9.82314e+06 106.463 92267.7
157000 83884.3 1.06235e+07 106.988 99296.9
157500 85027.5 1.07664e+07 108.844 98915.1
158000 78770.1 9.9897e+06 106.102 94151.9
158500 69421.7 8.83913e+06 113.487 77886.6
159000 69328.1 8.82032e+06 105.515 83593.3
159500 76061.9 9.65286e+06 112.105 86105.9
160000 81416.5 1.03143e+07 106.125 97190.9
160500 86010 1.08763e+07 97.1606 111942
161000 88459.1 1.11829e+07 103.368 108186
161500 73067.3 9.28603e+06 100.281 92599.7
162000 70430.3 8.96188e+06 109.801 81619.2
162500 73914.9 9.39618e+06 113.289 82939.6
163000 80337.5 1.01883e+07 106.979 95236.7
163500 87792.2 1.11026e+07 109.916 101010
164000 96843.5 1.22041e+07 106.604 114480
164500 88381.5 1.11743e+07 108.316 103163
165000 78722.7 9.98528e+06 105.584 94572.3
165500 76888.2 9.75977e+06 105.062 92895.6
166000 71742.5 9.12012e+06 101.357 89980.3
166500 77862.2 9.87651e+06 100.661 98116.6
167000 88869.4 1.12302e+07 103.143 108880
167500 91388.7 1.15385e+07 103.755 111209
168000 84941.3 1.07474e+07 106.24 101161
168500 80876.1 1.02464e+07 102.349 100112
169000 69966.6 8.90519e+06 107.084 83161.1
169500 67737.5 8.63202e+06 108.535 79532
170000 83364.1 1.05576e+07 103.146 102356
170500 87972.3 1.11214e+07 101.865 109177
171000 90569.7 1.14355e+07 109.998 103961
171500 84922.5 1.07482e+07 111.896 96054.9
172000 73228.6 9.30443e+06 98.2499 94701.7
172500 69309.9 8.82398e+06 106.992 82473.2
173000 82165.1 1.04069e+07 100.434 103620
173500 88646.2 1.12008e+07 104.351 107338
174000 87924.8 1.11127e+07 97.4166 114074
174500 88582.5 1.11923e+07 109.489 102223
175000 84263.7 1.06668e+07 112.052 95194.5
175500 77276.9 9.80573e+06 104.665 93686.8
176000 76309.6 9.68261e+06 102.11 94825.7
176500 89916.6 1.13561e+07 103.522 109697
177000 94111.5 1.18668e+07 107.56 110327
177500 89691.1 1.1327e+07 106.331 106526
178000 90042.2 1.13704e+07 101.577 111939
178500 90570.7 1.14364e+07 107.969 105923
179000 87622.4 1.10727e+07 105.213 105241
179500 83054.5 1.05171e+07 111.126 94640.9
180000 78597.3 9.96671e+06 101.848 97858.3
180500 88206.3 1.1149e+07 106.399 104785
181000 99423.9 1.2513e+07 96.4543 129730
181500 97618.2 1.22986e+07 100.412 122482
182000 87093.4 1.10153e+07 109.081 100983
182500 78054.3 9.90108e+06 101.796 97263.7
183000 81358.6 1.03043e+07 99.0034 104080
183500 90557.5 1.14306e+07 100.132 114156
184000 90279.3 1.13983e+07 104.561 109010
184500 92447.7 1.16691e+07 101.354 115133
185000 90355.1 1.14161e+07 108.585 105135
185500 81396 1.03129e+07 100.025 103104
186000 79352.2 1.00611e+07 107.623 93484.5
186500 96558.1 1.21755e+07 112.45 108274
187000 100058 1.25941e+07 107.283 117391
187500 92474 1.16735e+07 110.812 105344
188000 87871.6 1.11062e+07 103.378 107434
188500 89677.1 1.13289e+07 109.443 103514
189000 93192.1 1.17558e+07 104.989 111972
189500 94954.8 1.19739e+07 110.84 108029
190000 88506.9 1.11856e+07 111.6 100230
190500 83675.9 1.05944e+07 107.948 98143.4
191000 95012.2 1.19849e+07 110 108954
191500 106526 1.33749e+07 104.68 127769
192000 97364.8 1.22679e+07 105.031 116803
192500 92283.4 1.16485e+07 106.041 109849
193000 92148.6 1.16341e+07 107.277 108449
193500 94549.9 1.19193e+07 99.1985 120156
194000 107826 1.35319e+07 99.6608 135779
194500 105284 1.32273e+07 107.006 123613
195000 92915 1.17225e+07 105.212 111418
195500 89191 1.12683e+07 104.068 108278
196000 96451.7 1.21563e+07 107.322 113269
196500 99771.3 1.2562e+07 103.168 121763
197000 97487.7 1.22772e+07 102.738 119500
197500 94336.5 1.18967e+07 104.84 113475
198000 88199.2 1.11501e+07 103.608 107618
198500 90453.2 1.14221e+07 103.582 110271
199000 103533 1.30176e+07 102.584 126897
199500 106793 1.34142e+07 110.658 121222
200000 98211.5 1.23748e+07 109.715 112791
200500 93540.4 1.18049e+07 109.597 107712
201000 93133.9 1.17563e+07 106.691 110190
201500 102072 1.28389e+07 95.1257 134967
202000 116355 1.45668e+07 97.9319 148744
202500 105964 1.33117e+07 109.083 122032
203000 92610.6 1.16862e+07 106.835 109386
203500 93262.2 1.17673e+07 112.495 104603
204000 100620 1.26578e+07 105.222 120295
204500 103199 1.29692e+07 102.197 126903
205000 103608 1.30201e+07 101.747 127966
205500 94710.4 1.19374e+07 101.088 118090
206000 92496.2 1.16709e+07 104.249 111953
206500 108123 1.35668e+07 105.154 129019
207000 113678 1.42423e+07 116.627 122118
207500 103690 1.30334e+07 108.948 119629
208000 96645.7 1.21781e+07 108.747 111986
208500 102045 1.28359e+07 107.627 119263
209000 111848 1.40244e+07 104.027 134815
209500 116352 1.45594e+07 104.663 139107
210000 98473.6 1.24025e+07 111.112 111621
210500 97781.7 1.2317e+07 99.2574 124091
211000 102186 1.28528e+07 106.386 120813
211500 113820 1.42576e+07 110.608 128902
212000 113421 1.42122e+07 110.597 128505
212500 91450.1 1.15411e+07 107.517 107341
213000 97740.7 1.23128e+07 112.568 109381
213500 110980 1.39109e+07 106.817 130232
214000 112529 1.40957e+07 100.885 139721
214500 106556 1.33799e+07 101.94 131253
215000 92135.8 1.16313e+07 105.932 109799
215500 99391.7 1.25131e+07 106.804 117159
216000 115446 1.44554e+07 110.558 130749
216500 114325 1.43189e+07 109.836 130366
217000 105045 1.31973e+07 106.243 124218
217500 95171.2 1.19946e+07 105.448 113749
218000 106657 1.33866e+07 103.425 129432
218500 122652 1.53196e+07 114.801 133444
219000 113465 1.42137e+07 113.317 125433
219500 103900 1.30522e+07 102.34 127537
220000 101749 1.27965e+07 102.347 125031
220500 109476 1.3733e+07 108.717 126320
221000 124055 1.54807e+07 100.857 153491
221500 116275 1.45521e+07 111.97 129965
222000 104732 1.31564e+07 105.08 125203
222500 110271 1.38283e+07 106.833 129438
223000 113979 1.42755e+07 101.611 140492
223500 114962 1.43992e+07 110.921 129814
224000 111578 1.39922e+07 110.024 127174
224500 113352 1.4202e+07 97.0192 146383
225000 108405 1.35994e+07 108.169 125724
225500 117759 1.47277e+07 100.256 146902
226000 127279 1.58679e+07 97.8787 162118
226500 115724 1.4479e+07 103.887 139372
227000 104005 1.30655e+07 96.1102 135943
227500 114652 1.43566e+07 100.839 142372
228000 121459 1.51736e+07 106.29 142757
228500 116666 1.45957e+07 108.235 134852
229000 114855 1.43809e+07 108.311 132775
229500 111880 1.40202e+07 106.032 132225
230000 123156 1.53655e+07 99.5636 154329
230500 124608 1.55495e+07 109.68 141771
231000 105455 1.32466e+07 102.577 129139
231500 111408 1.39688e+07 102.253 136609
232000 118976 1.48735e+07 100.211 148422
232500 117540 1.47013e+07 100.201 146718
233000 107511 1.34912e+07 102.822 131209
233500 111442 1.39674e+07 94.7814 147364
234000 123769 1.5448e+07 105.414 146546
234500 118245 1.47899e+07 110.066 134373
235000 105333 1.32307e+07 115.038 115012
235500 116734 1.46054e+07 104.367 139942
236000 140168 1.74061e+07 115.09 151239
236500 118567 1.4829e+07 104.346 142114
237000 111620 1.3997e+07 109.894 127368
237500 114350 1.43275e+07 105.673 135583
238000 134881 1.67768e+07 106.562 157436
238500 117859 1.4744e+07 112.275 131320
239000 114649 1.43527e+07 104.615 137195
239500 119124 1.4898e+07 103.661 143718
240000 124852 1.55753e+07 103.867 149954
240500 107663 1.35136e+07 95.5967 141361
241000 110521 1.38645e+07 102.732 134958
241500 127206 1.58618e+07 106.776 148552
242000 123548 1.54244e+07 98.5998 156435
242500 119047 1.48838e+07 103.934 143205
243000 119400 1.49254e+07 99.4476 150083
243500 123529 1.54218e+07 101.296 152246
244000 121946 1.52292e+07 110.732 137533
244500 125282 1.56255e+07 106.115 147251
245000 123157 1.53738e+07 103.873 148005
245500 117365 1.46874e+07 108.099 135870
246000 118545 1.482e+07 108.007 137213
246500 135349 1.68232e+07 106.991 157239
247000 129178 1.60901e+07 99.1205 162328
247500 115731 1.44817e+07 101.305 142952
248000 122136 1.52509e+07 102.691 148512
248500 125934 1.57025e+07 102.935 152548
249000 127144 1.58478e+07 100.189 158180
249500 120358 1.50339e+07 97.058 154896
250000 112777 1.41301e+07 101.995 138537
250500 134948 1.67717e+07 93.498 179380
251000 132806 1.65255e+07 102.714 160889
251500 121204 1.51364e+07 100.288 150929
252000 124248 1.55051e+07 105.84 146495
252500 128273 1.59885e+07 93.0256 171872
253000 132604 1.65061e+07 108.409 152258
253500 123144 1.53745e+07 103.423 148657
254000 119138 1.48979e+07 108.174 137722
254500 133608 1.6617e+07 105.489 157524
255000 131804 1.64034e+07 103.587 158354
255500 114196 1.42995e+07 106.177 134677
256000 129434 1.61212e+07 105.051 153461
256500 131905 1.64195e+07 107.134 153262
257000 129169 1.60944e+07 97.8182 164534
257500 121567 1.51801e+07 105.457 143945
258000 136150 1.69251e+07 110.462 153222
258500 140284 1.74123e+07 98.4778 176814
259000 117984 1.47507e+07 107.537 137169
259500 126398 1.57592e+07 106.336 148201
260000 132101 1.64394e+07 107.718 152615
